region_from,region_to,SC,module_from,overlapping_from,module_to,overlapping_to
rh_R_PoI2,rh_R_7Pm,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_7Pm,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_7Pm,4.104808651,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_7Pm,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_7Pm,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_7Pm,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_7Pm,5.023359532,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_7m,7.741849789,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_POS2,rh_R_7m,7.859366942,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_8BM,rh_R_7m,6.39186289,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_9m,rh_R_7m,6.18710117,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PoI2,rh_R_7m,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_7m,5.09722995,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_7m,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_7m,4.812151597,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_7m,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_7m,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_7m,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_PCV,7.403133178,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_POS2,rh_R_PCV,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_8BM,rh_R_PCV,6.418072871,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_9m,rh_R_PCV,5.256360449,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PoI2,rh_R_PCV,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_PCV,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_PCV,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_PCV,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_PCV,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_PCV,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_PCV,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_POS1,7.491183732,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_POS2,rh_R_POS1,8.60733734,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_8BM,rh_R_POS1,5.043754567,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_9m,rh_R_POS1,5.205813654,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PoI2,rh_R_POS1,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_POS1,6.452149048,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_POS1,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_POS1,6.191128609,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_POS1,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_POS1,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_POS1,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_SCEF,6.60037659,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_POS2,rh_R_SCEF,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_8BM,rh_R_SCEF,7.334823716,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_9m,rh_R_SCEF,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PoI2,rh_R_SCEF,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_SCEF,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_SCEF,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_SCEF,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_SCEF,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_SCEF,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_SCEF,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_a24,5.697691829,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_POS2,rh_R_a24,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_8BM,rh_R_a24,4.372167989,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_9m,rh_R_a24,7.402888703,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PoI2,rh_R_a24,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_a24,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_a24,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_a24,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_a24,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_a24,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_a24,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_a24pr,5.450605303,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_POS2,rh_R_a24pr,4.493699473,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_8BM,rh_R_a24pr,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_9m,rh_R_a24pr,6.131383587,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PoI2,rh_R_a24pr,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_a24pr,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_a24pr,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_a24pr,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_a24pr,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_a24pr,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_a24pr,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_a32pr,6.207200214,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_POS2,rh_R_a32pr,4.758445328,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_8BM,rh_R_a32pr,7.701796597,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_9m,rh_R_a32pr,6.869283382,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PoI2,rh_R_a32pr,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_a32pr,3.556810008,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_a32pr,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_a32pr,3.371504798,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_a32pr,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_a32pr,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_a32pr,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_d23ab,6.274932227,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_POS2,rh_R_d23ab,5.764858398,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_8BM,rh_R_d23ab,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_9m,rh_R_d23ab,4.383736701,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PoI2,rh_R_d23ab,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_d23ab,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_d23ab,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_d23ab,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_d23ab,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_d23ab,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_d23ab,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_d32,6.575816896,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_POS2,rh_R_d32,4.789281008,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_8BM,rh_R_d32,8.095270978,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_9m,rh_R_d32,8.430270351,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PoI2,rh_R_d32,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_d32,3.795220537,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_d32,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_d32,3.62618134,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_d32,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_d32,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_d32,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_p24,6.18857097,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_POS2,rh_R_p24,4.200016909,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_8BM,rh_R_p24,5.534551863,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_9m,rh_R_p24,8.09561366,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PoI2,rh_R_p24,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_p24,3.092458634,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_p24,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_p24,2.907340729,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_p24,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_p24,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_p24,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_p24pr,5.644661162,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_POS2,rh_R_p24pr,5.27525281,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_8BM,rh_R_p24pr,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_9m,rh_R_p24pr,5.2077687,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PoI2,rh_R_p24pr,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_p24pr,2.867290536,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_p24pr,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_p24pr,2.618826847,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_p24pr,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_p24pr,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_p24pr,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_p32pr,5.644054991,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_POS2,rh_R_p32pr,4.974356242,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_8BM,rh_R_p32pr,7.585577428,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_9m,rh_R_p32pr,6.123389732,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PoI2,rh_R_p32pr,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_p32pr,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_p32pr,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_p32pr,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_p32pr,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_p32pr,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_p32pr,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_v23ab,7.408752906,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_POS2,rh_R_v23ab,6.727951898,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_8BM,rh_R_v23ab,5.341870387,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_9m,rh_R_v23ab,5.728576194,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PoI2,rh_R_v23ab,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PeEc,rh_R_v23ab,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A5,rh_R_v23ab,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PHA1,rh_R_v23ab,0.0,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PFm,rh_R_v23ab,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_PGs,rh_R_v23ab,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_A4,rh_R_v23ab,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex,Non-overlapping
rh_R_RSC,rh_R_11l,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_11l,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_11l,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_11l,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_11l,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_11l,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_11l,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_11l,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_11l,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_11l,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_11l,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_47s,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_47s,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_47s,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_47s,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_47s,5.627530258,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_47s,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_47s,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_47s,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_47s,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_47s,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_47s,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_52,3.200827721,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_52,3.811391305,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_52,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_52,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_52,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_52,1.424725736,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_52,4.389567877,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_52,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_52,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_52,4.063979706,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_52,4.961110209,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_7PL,5.118742702,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_7PL,7.159836869,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_7PL,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_7PL,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_7PL,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_7PL,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_7PL,4.620707824,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_7PL,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_7PL,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_7PL,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_7PL,5.448852215,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_AAIC,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_AAIC,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_AAIC,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_AAIC,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_AAIC,6.575945996,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_AAIC,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_AAIC,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_AAIC,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_AAIC,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_AAIC,2.838393788,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_AAIC,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_DVT,6.979569978,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_DVT,8.665466901,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_DVT,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_DVT,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_DVT,3.017061449,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_DVT,5.854536865,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_DVT,5.044943609,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_DVT,5.569143264,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_DVT,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_DVT,5.613190295,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_DVT,5.438974308,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_EC,3.938743258,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_EC,4.717692132,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_EC,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_EC,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_EC,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_EC,7.3024324,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_EC,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
